,Ant-1.4,Ant-1.5,Ant-1.6,Ant-1.7,Camel-1.2,Camel-1.4,Camel-1.6,Ivy-1.4,Ivy-2.0,Jedit-4.0,Jedit-4.1,Jedit-4.2,Jedit-4.3,Log4j-1.1,Log4j-1.2,Lucene-2.2,Lucene-2.4,Poi-2.0,Poi-2.5,Poi-3.0,Synapse-1.1,Synapse-1.2,Velocity-1.5,Velocity-1.6,Xalan-2.5,Xalan-2.6,Xalan-2.7,Xerces-1.2,Xerces-1.3,Xerces-1.4
CS,0.52336577,0.59398823,0.572350422,0.566688594,0.563008816,0.604301469,0.61190232,0.488332369,0.50973806,0.638640273,0.678588521,0.580793151,0.670025799,0.74451791,0.409262955,0.516614717,0.646107003,0.523204029,0.42833429,0.638295791,0.545498539,0.574004545,0.86796737,0.69806271,0.508619338,0.609605651,0.380372872,0.753916361,0.650526984,0.625809133
CR,0.496862451,0.616832152,0.563863154,0.56782798,0.589609535,0.591316161,0.614944782,0.493803313,0.491599207,0.668927717,0.678178321,0.618868936,0.751679419,0.666961651,0.400915997,0.514458462,0.647762595,0.449044582,0.418612494,0.609009491,0.540569214,0.567258463,0.859329549,0.686060627,0.551529544,0.600186241,0.381272566,0.604973389,0.629132816,0.610937438
CV,0.615384295,0.615468365,0.534245656,0.541571851,0.613179644,0.592342004,0.647894698,0.48119229,0.497032501,0.7087714,0.70917489,0.613054481,0.680535156,0.734830291,0.426473471,0.492507608,0.699393816,0.535161823,0.585223786,0.626893578,0.549560009,0.540303442,0.847544394,0.671125612,0.458242415,0.605401598,0.422834259,0.602613018,0.589223501,0.612585169
PS,0.518901571,0.610754538,0.580554807,0.539015855,0.562549647,0.607269852,0.598357918,0.470584016,0.511577259,0.634919453,0.681788026,0.59302303,0.694454562,0.722859664,0.431975451,0.528721738,0.650958752,0.501500591,0.407130646,0.638626929,0.538894107,0.574830155,0.855987602,0.692618018,0.514059638,0.610923872,0.38569147,0.751764327,0.615001598,0.60320229
IG,0.535655489,0.598328787,0.557357914,0.565664998,0.570080509,0.608743331,0.61808519,0.487318418,0.513236579,0.693850657,0.686117115,0.580219451,0.634926609,0.741464155,0.436167866,0.504549336,0.655772809,0.528810281,0.466121134,0.637361688,0.509539912,0.573086418,0.867553422,0.68581331,0.543300249,0.596704709,0.388959295,0.756610828,0.653207685,0.605381766
GR,0.515399157,0.590713772,0.580390601,0.567295749,0.574560137,0.607586668,0.618502933,0.484896788,0.509862194,0.70023677,0.680104314,0.588576284,0.71463116,0.730610409,0.401694115,0.553395827,0.634892312,0.514904667,0.421303969,0.638946118,0.537127968,0.577524832,0.856953067,0.685376072,0.541670612,0.616354345,0.364463145,0.733302285,0.618441132,0.603469253
SU,0.494623122,0.596773921,0.57575072,0.564733275,0.572470385,0.604987995,0.601442203,0.482263265,0.514674719,0.699882145,0.67840647,0.575973032,0.694118935,0.737743942,0.402031286,0.536679003,0.652325057,0.530645273,0.41033841,0.641448407,0.533831322,0.574242353,0.862728156,0.68237713,0.558263135,0.587973724,0.376208721,0.753278491,0.66359783,0.640693109
REF,0.514374704,0.599830522,0.524295751,0.548353492,0.573118321,0.5967852,0.619555608,0.601720722,0.502272158,0.69578833,0.682801413,0.602018825,0.603305904,0.642617818,0.375918616,0.526457987,0.643635125,0.423735886,0.578573004,0.642192501,0.51607572,0.546023378,0.866268504,0.664798023,0.688174592,0.682758686,0.379529589,0.758754997,0.601084273,0.661484742
RW,0.593965012,0.607907061,0.524997855,0.522282211,0.571917873,0.600402582,0.642825258,0.577609621,0.507108578,0.714082538,0.678237685,0.600228684,0.60024774,0.55043168,0.4792604,0.528909219,0.655550282,0.473406171,0.61172991,0.640936595,0.531836141,0.591416612,0.865025072,0.638570446,0.695661954,0.585916723,0.376044258,0.760086957,0.636938023,0.656287216
ORF,0.524047873,0.618872733,0.526715463,0.550540749,0.551400879,0.638052383,0.609436457,0.480509715,0.519312104,0.622793537,0.69390884,0.611056734,0.652799312,0.742213132,0.420683418,0.530532972,0.665453581,0.539084003,0.44060395,0.638058278,0.558566591,0.572907264,0.87518903,0.686643099,0.686512882,0.599421963,0.35923196,0.736785884,0.646986336,0.587657491
SVMF,0.535612651,0.612834726,0.547731881,0.585498136,0.575841282,0.592627371,0.646184783,0.534178985,0.495565298,0.661340378,0.701028998,0.644573799,0.67373102,0.742398708,0.402651663,0.559090328,0.632061138,0.511979082,0.417132848,0.642959061,0.56773999,0.563199075,0.86423906,0.700265755,0.532627413,0.585213225,0.381793779,0.602598042,0.620571635,0.558219633
CorBF,0.542876973,0.626688022,0.557856861,0.562976177,0.564984135,0.607650379,0.634470554,0.522312358,0.521177731,0.681109789,0.698099613,0.596325036,0.667240162,0.708683454,0.408906403,0.539399396,0.648661488,0.495581349,0.423326282,0.620938839,0.558175283,0.555234697,0.866191024,0.694947501,0.553127072,0.616970407,0.361510013,0.730942578,0.624009902,0.601044878
CorGS,0.546472048,0.625649281,0.559779039,0.564154266,0.567176749,0.608051952,0.635526723,0.51141385,0.520198294,0.712447179,0.697269185,0.592334152,0.679370437,0.703249426,0.409771649,0.534282625,0.654119069,0.514232273,0.384264086,0.623536116,0.544886686,0.562047416,0.865118611,0.697482538,0.570158912,0.603717194,0.363339702,0.768302622,0.619691517,0.595293729
ConBF,0.541719349,0,0.542031306,0.563270491,0,0.612243812,0.621472087,0.499276709,0,0.718834183,0.680880871,0.635183064,0.687934632,0.655946469,0.420432959,0.539924647,0.641473347,0.495939034,0.399937477,0.613753081,0.643390364,0.521588101,0.874068947,0.71064372,0.568653374,0.612802749,0.417380746,0.744911679,0.653426864,0.565312341
ConGS,0.516116533,0,0.548417508,0.569261366,0.567803633,0.615672961,0.627275763,0.500749831,0,0.715296074,0.675258766,0.647843488,0.625429806,0.657082048,0.415729669,0.538975112,0.654933138,0.503303452,0.4528617,0.606967805,0.626338887,0.540200861,0.873253649,0.694535793,0.558617237,0.605442259,0.414589165,0.745264033,0.654130901,0.578440859
ADBB,0.515688104,0.59297588,0.538529146,0.572782753,0.538547737,0.659844647,0.650626735,0.527642289,0.493167004,0.722389894,0.737702517,0.651068965,0.653022518,0.670421145,0.391928276,0.551401042,0.657342394,0.495414917,0.401023528,0.633017159,0.536607593,0.554257546,0.868957566,0.689704254,0.520258062,0.639200134,0.526454414,0.729785875,0.628153528,0.592053875
ADBF,0.641148841,0.540507469,0.551879423,0.57296228,0.63161241,0.584873531,0.645747773,0.597903883,0.48637977,0.654359926,0.682470964,0.703270641,0.701057422,0.761760603,0.891177169,0.613070461,0.782444826,0.612920968,0.828717259,0.734330492,0.606313418,0.582067947,0.845299009,0.742387126,0.762031091,0.770467285,0.865638412,0.897621416,0.672404333,0.665522425
DFB,0.516013712,0.599734074,0.543377614,0.57466984,0.542623994,0.652530861,0.649406338,0.547386356,0.487671605,0.732197175,0.706736334,0.620269092,0.691554528,0.647985568,0.389895863,0.547808546,0.657994369,0.495289371,0.501490889,0.622507841,0.548040833,0.548103008,0.870059357,0.699929761,0.564596826,0.618117618,0.41932926,0.733079897,0.648509224,0.593737483
DFF,0.6393742,0.563329482,0.547139057,0.504638795,0.65219902,0.608514588,0.67745294,0.515382894,0.56120088,0.731027444,0.713163319,0.692364991,0.649489039,0.668270867,0.887944038,0.648840837,0.782270916,0.532731448,0.828721301,0.68555992,0.593196158,0.594087805,0.851062948,0.759299361,0.818245101,0.76384799,0.891263514,0.847231948,0.657907177,0.806908117
RFB,0.501222262,0.604101138,0.533036415,0.562896001,0.528054172,0.643451819,0.645948391,0.552752206,0.493668226,0.721588479,0.705141031,0.625427362,0.679400643,0.708175709,0.419381881,0.550743737,0.670204932,0.487554921,0.422133536,0.596997852,0.560420037,0.540319977,0.86697607,0.697339208,0.557382251,0.644220395,0.413019963,0.763490076,0.653739129,0.576288775
RFF,0.754577831,0.580421996,0.577092687,0.582961653,0.667887535,0.621022952,0.676438738,0.542019652,0.516056455,0.689154047,0.715031941,0.617010187,0.679100851,0.751391953,0.887842989,0.63627715,0.782511374,0.622464945,0.827255106,0.734443264,0.65031226,0.577575191,0.858296396,0.767595316,0.796773808,0.754171839,0.868314271,0.895372836,0.665047592,0.757497157
XGBB,0.530074893,0.610083619,0.529583736,0.571194077,0.530398048,0.639109062,0.643880602,0.561817011,0.500813747,0.722799876,0.717155796,0.696128031,0.668443699,0.671052315,0.419771854,0.543978365,0.661919919,0.499646678,0.392353724,0.627347891,0.547484554,0.549703316,0.868768573,0.671090798,0.537387994,0.644819173,0.416449837,0.759958211,0.640918283,0.571838593
XGBF,0.718793602,0.593723116,0.577669763,0.577989695,0.642537382,0.6204847,0.669986046,0.516725022,0.514699576,0.689357612,0.714101354,0.626624559,0.6911934,0.746486826,0.887629906,0.661332375,0.782402924,0.623545432,0.827758172,0.734553334,0.636183628,0.577727801,0.858614964,0.717179822,0.796537157,0.754288638,0.884309157,0.814121333,0.662006003,0.80612936
NONE,0.528749586,0.591533111,0.527425956,0.575721559,0.527535904,0.641918261,0.64107502,0.541375767,0.484037703,0.713309255,0.702798579,0.620736922,0.681792887,0.671229376,0.399185385,0.544469545,0.653612684,0.480077613,0.397974895,0.608214819,0.534339539,0.537990723,0.870014689,0.691775158,0.589640211,0.633589615,0.418283955,0.723109544,0.639566985,0.542128332
