Testing Datasets,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall,,,,,,,,,
Ant-1.4,0.3,0.15,0.14893617,0.112359551,5,0.533954529,0.24,0.15,,,,,,,,,
Ant-1.5,0.419753086,0.453333333,0.327433628,0.264705882,1,0.77728576,0.529411765,0.72,,,,,,,,,
Ant-1.6,0.596153846,0.392405063,0.35483871,0.166666667,1,0.740785866,0.639344262,0.493670886,,,,,,,,,
Ant-1.7,0.253968254,0.333333333,0.198113208,0.171662125,13,0.637288005,0.35,0.583333333,,,,,,,,,
Camel-1.2,0.085106383,0.363636364,0.416666667,0.095528455,12,0.792379334,0.117647059,0.545454545,,,,,,,,,
Camel-1.4,0.611111111,0.297297297,0.337209302,0.165137615,4,0.705691499,0.703703704,0.513513514,,,,,,,,,
Camel-1.6,0.948717949,0.195767196,0.212851406,0.190243902,0,0.48988597,0.951612903,0.312169312,,,,,,,,,
Ivy-1.4,0.698412698,0.305555556,0.251207729,0.255060729,0,0.608880653,0.720430108,0.465277778,,,,,,,,,
Ivy-2.0,0.647058824,0.487684729,0.436708861,0.45,0,0.717283274,0.676328502,0.689655172,,,,,,,,,
Jedit-4.0,0.066176471,0.243243243,0.256410256,0.433121019,1,0.436753832,0.104761905,0.594594595,,,,,,,,,
Jedit-4.1,0.647058824,0.088709677,0.131048387,0.088311688,3,0.597501666,0.675675676,0.100806452,,,,,,,,,
Jedit-4.2,0.145454545,0.25,0.257142857,0.187713311,37,0.610069012,0.19047619,0.375,,,,,,,,,
Jedit-4.3,0.666666667,0.427046263,0.314,0.407239819,2,0.613776248,0.72265625,0.658362989,,,,,,,,,
Log4j-1.1,0.4,0.166666667,0.191919192,0.112612613,0,0.58615608,0.428571429,0.2,,,,,,,,,
Log4j-1.2,0.47826087,0.255813953,0.262068966,0.1796875,6,0.603798814,0.527272727,0.337209302,,,,,,,,,
Lucene-2.2,0.642384106,0.683098592,0.498489426,0.705607477,0,0.87759043,0.673469388,0.929577465,,,,,,,,,
Lucene-2.4,0.4,0.58974359,0.463157895,0.502183406,10,0.752512347,0.450980392,0.884615385,,,,,,,,,
Poi-2.0,0.637681159,0.11369509,0.154425612,0.085927771,1,0.66893709,0.649350649,0.129198966,,,,,,,,,
Poi-2.5,0.533762058,0.403892944,0.368,0.351412429,2,0.637189429,0.656950673,0.712895377,,,,,,,,,
Poi-3.0,1,0.272828508,0.309975268,0.269526953,0,0.450824019,1,0.430957684,,,,,,,,,
Synapse-1.1,0.220095694,0.647887324,0.686956522,0.475,4,0.837155007,0.237704918,0.816901408,,,,,,,,,
Synapse-1.2,0.423076923,0.15942029,0.227979275,0.057395143,4,0.626628781,0.407407407,0.15942029,,,,,,,,,
Velocity-1.5,0.592592593,0.173913043,0.152173913,0.076923077,2,0.473774035,0.612903226,0.206521739,,,,,,,,,
Velocity-1.6,0.93442623,0.130434783,0.239974937,0.103741497,0,0.561908303,0.945205479,0.157894737,,,,,,,,,
Xalan-2.5,0.428571429,0.271084337,0.233727811,0.140939597,8,0.584262143,0.54601227,0.536144578,,,,,,,,,
Xalan-2.6,0.347578348,0.564814815,0.383141762,0.577302632,0,0.63525644,0.666666667,0.046296296,,,,,,,,,
Xalan-2.7,0.343373494,0.393103448,0.373134328,0.190366972,3,0.661930495,0.366492147,0.482758621,,,,,,,,,
Xerces-1.2,0.416666667,0.186170213,0.316,0.087046632,0,0.665848695,0.430232558,0.196808511,,,,,,,,,
Xerces-1.3,0.068965517,0.375,0.333333333,0.360995851,2,0.564041564,0.1,0.75,,,,,,,,,
Xerces-1.4,0.036885246,0.225,0.178571429,0.693181818,8,0.506675187,0.166666667,0.05,,,,,,,,,
