Testing Datasets,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Ant-1.4,0.352941176,0.15,0.127659574,0.095505618,1,0.509177148,0.285714286,0.15
Ant-1.5,0.444444444,0.426666667,0.300884956,0.235294118,1,0.76006065,0.526315789,0.666666667
Ant-1.6,0.725,0.367088608,0.382488479,0.128205128,1,0.784561289,0.739130435,0.430379747
Ant-1.7,0.345454545,0.395833333,0.245283019,0.14986376,7,0.647347247,0.413333333,0.645833333
Camel-1.2,0.117647059,0.363636364,0.416666667,0.069105691,4,0.780772897,0.128205128,0.454545455
Camel-1.4,0.764705882,0.351351351,0.372093023,0.155963303,2,0.730307114,0.8,0.540540541
Camel-1.6,0.965517241,0.148148148,0.180722892,0.141463415,0,0.432577472,0.959183673,0.248677249
Ivy-1.4,0.732142857,0.284722222,0.231884058,0.226720648,0,0.555104292,0.755555556,0.472222222
Ivy-2.0,0.65248227,0.45320197,0.412974684,0.414705882,2,0.637798836,0.682464455,0.709359606
Jedit-4.0,0.085271318,0.297297297,0.307692308,0.410828025,12,0.508349709,0.130434783,0.72972973
Jedit-4.1,0.733333333,0.044354839,0.112903226,0.038961039,1,0.355972606,0.75,0.048387097
Jedit-4.2,0.066666667,0.25,0.228571429,0.409556314,22,0.6321128,0.1875,0.1875
Jedit-4.3,0.710382514,0.462633452,0.354,0.414027149,0,0.65263483,0.752895753,0.693950178
Log4j-1.1,0.265625,0.283333333,0.343434343,0.288288288,0,0.625083512,0.8,0.066666667
Log4j-1.2,0.5,0.162790698,0.186206897,0.109375,1,0.547160198,0.615384615,0.279069767
Lucene-2.2,0.632258065,0.690140845,0.531722054,0.724299065,0,0.883754991,0.668316832,0.950704225
Lucene-2.4,0.380530973,0.551282051,0.405263158,0.493449782,10,0.730378034,0.450331126,0.871794872
Poi-2.0,0.472081218,0.240310078,0.271186441,0.245330012,1,0.606184829,0.684210526,0.067183463
Poi-2.5,0.534328358,0.435523114,0.3968,0.378531073,4,0.650879888,0.633187773,0.705596107
Poi-3.0,1,0.312917595,0.338829349,0.309130913,0,0.495606853,1,0.461024499
Synapse-1.1,0.231578947,0.61971831,0.660869565,0.431818182,1,0.823769074,0.246445498,0.732394366
Synapse-1.2,0.126984127,0.347826087,0.471502591,0.417218543,5,0.695283841,0.379310345,0.15942029
Velocity-1.5,0.351351351,0.141304348,0.206521739,0.105413105,3,0.562750984,0.619047619,0.141304348
Velocity-1.6,1,0.09610984,0.218671679,0.071428571,0,0.554217405,1,0.118993135
Xalan-2.5,0.494252874,0.259036145,0.25739645,0.116778523,4,0.599204961,0.559440559,0.481927711
Xalan-2.6,0.408759124,0.259259259,0.235632184,0.225328947,3,0.477480025,0,0
Xalan-2.7,0.396648045,0.489655172,0.447761194,0.205275229,12,0.737427305,0.409302326,0.606896552
Xerces-1.2,0.489795918,0.255319149,0.406,0.101554404,4,0.733016509,0.5,0.265957447
Xerces-1.3,0.055555556,0.3125,0.277777778,0.373443983,28,0.511819836,0.1,0.875
Xerces-1.4,0.052980132,0.2,0.178571429,0.428977273,30,0.500949182,0,0
